filepath,label
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1058).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (139).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (678).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (902).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (701).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (195).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1106).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (100).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (178).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (622).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (695).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (966).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1078).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (711).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (16).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (191).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (726).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (851).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (400).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (758).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (757).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (970).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (935).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (718).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1087).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (18).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (572).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (724).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (147).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (148).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (74).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1024).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (804).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (988).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (14).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (751).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1036).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (658).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (929).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (725).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (959).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (135).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (153).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1074).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (587).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1062).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (194).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1116).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (685).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1089).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1010).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (643).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1028).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (961).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (605).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (584).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (672).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (612).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (765).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (121).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (808).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (619).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (163).jpg,1
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (53).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (642).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (597).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (682).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (878).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (977).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (635).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1083).jpg,0
C:/Users/Admin/Downloads/archive (1)\Normal\normal (1022).jpg,0
C:/Users/Admin/Downloads/archive (1)\Jaundice\jaundice (32).jpg,1
C:/Users/Admin/Downloads/archive (1)\Normal\normal (861).jpg,0
